,country,alcohol_rate
63,Gambia,0.26666666666666666
153,Sierra Leone,0.22333333333333333
124,Nigeria,0.18571428571428572
179,Uganda,0.1537037037037037
142,Rwanda,0.1511111111111111
183,Tanzania,0.1325581395348837
26,Burkina Faso,0.11025641025641025
33,Central African Republic,0.09
28,Cote d'Ivoire,0.08888888888888889
104,Mali,0.08571428571428572
162,Sudan,0.08095238095238096
101,Malawi,0.075
27,Burundi,0.0715909090909091
47,DR Congo,0.06388888888888888
138,South Korea,0.0593939393939394
192,Zimbabwe,0.05465116279069768
164,Swaziland,0.05
191,Zambia,0.045454545454545456
66,Ghana,0.04090909090909091
31,Cameroon,0.038157894736842106
92,Laos,0.03351351351351351
71,Guinea-Bissau,0.03125
58,Ethiopia,0.03043478260869565
56,Eritrea,0.027777777777777776
15,Belarus,0.02585278276481149
95,Lesotho,0.025225225225225224
85,Japan,0.023728813559322035
34,Chad,0.023529411764705882
172,Togo,0.02280701754385965
22,Botswana,0.022222222222222223
88,Kenya,0.021951219512195124
18,Benin,0.021568627450980395
159,South Africa,0.021465968586387434
121,New Zealand,0.020350109409190374
60,Finland,0.02028397565922921
98,Lithuania,0.02006220839813375
38,Comoros,0.02
149,Saudi Arabia,0.02
57,Estonia,0.019916142557651992
39,Congo,0.019767441860465116
182,United Kingdom,0.01925925925925926
81,Ireland,0.01912751677852349
8,Australia,0.01908256880733945
6,Argentina,0.018906605922551254
155,Slovakia,0.01884297520661157
93,Latvia,0.018783542039355994
115,Mozambique,0.018571428571428572
29,Cabo Verde,0.018518518518518517
4,Angola,0.018495297805642633
161,Sri Lanka,0.018333333333333333
136,Portugal,0.018333333333333333
180,Ukraine,0.01823770491803279
61,France,0.018209876543209876
70,Guinea,0.018181818181818184
53,Egypt,0.018181818181818184
119,Nepal,0.018181818181818184
126,Norway,0.018157181571815718
144,St. Lucia,0.018132854578096946
50,Dominica,0.01813186813186813
165,Sweden,0.018090452261306532
84,Jamaica,0.018085106382978722
160,Spain,0.018083182640144666
154,Singapore,0.018072289156626505
132,Paraguay,0.018069306930693068
10,Azerbaijan,0.018055555555555557
166,Switzerland,0.018053097345132742
11,Bahamas,0.01805157593123209
177,Turkmenistan,0.018032786885245903
7,Armenia,0.01800947867298578
187,Vanuatu,0.018000000000000002
137,Qatar,0.018000000000000002
73,Haiti,0.017987804878048783
40,Cook Islands,0.017987804878048783
113,Montenegro,0.01794871794871795
148,Sao Tome & Principe,0.01794871794871795
127,Oman,0.017948717948717947
2,Algeria,0.017948717948717947
181,United Arab Emirates,0.017948717948717947
64,Georgia,0.017940199335548173
72,Guyana,0.017929292929292927
67,Greece,0.017926565874730023
94,Lebanon,0.017924528301886792
36,China,0.017921146953405017
96,Liberia,0.017919075144508672
91,Kyrgyzstan,0.01791044776119403
186,Uzbekistan,0.01791044776119403
21,Bosnia-Herzegovina,0.0178988326848249
14,Barbados,0.017897727272727273
145,St. Vincent & the Grenadines,0.017897727272727273
68,Grenada,0.017894736842105265
117,Namibia,0.017894736842105262
163,Suriname,0.01789137380191693
30,Cambodia,0.01788617886178862
54,El Salvador,0.01788617886178862
77,India,0.01788617886178862
105,Malta,0.017886178861788615
112,Mongolia,0.01788321167883212
169,Thailand,0.01787709497206704
43,Cuba,0.017872340425531916
143,St. Kitts & Nevis,0.01786542923433875
44,Cyprus,0.017864923747276686
42,Croatia,0.01786339754816112
131,Papua New Guinea,0.017857142857142856
12,Bahrain,0.017857142857142856
167,Syria,0.017857142857142856
114,Morocco,0.017857142857142856
178,Tuvalu,0.017857142857142856
83,Italy,0.017857142857142856
89,Kiribati,0.017857142857142856
86,Jordan,0.017857142857142856
25,Bulgaria,0.01785095320623917
139,Moldova,0.017847025495750707
55,Equatorial Guinea,0.017846153846153845
3,Andorra,0.017841726618705037
35,Chile,0.01784037558685446
48,Denmark,0.01783876500857633
185,Uruguay,0.017837837837837836
134,Philippines,0.017829457364341085
75,Hungary,0.017823343848580444
5,Antigua & Barbuda,0.01781818181818182
1,Albania,0.01781818181818182
41,Costa Rica,0.017813765182186237
99,Luxembourg,0.017812500000000002
170,Macedonia,0.01780821917808219
141,Russian Federation,0.01780185758513932
87,Kazakhstan,0.01780104712041885
9,Austria,0.017798165137614678
100,Madagascar,0.017777777777777778
174,Trinidad & Tobago,0.017777777777777778
120,Netherlands,0.01776937618147448
122,Nicaragua,0.017766497461928935
16,Belgium,0.017766497461928935
51,Dominican Republic,0.017765042979942695
156,Slovenia,0.017755443886097153
135,Poland,0.01775244299674267
74,Honduras,0.01775147928994083
32,Canada,0.017748917748917747
140,Romania,0.017747440273037544
151,Serbia,0.0177449168207024
45,Czech Republic,0.01774436090225564
76,Iceland,0.017741935483870968
173,Tonga,0.017741935483870968
69,Guatemala,0.017741935483870968
49,Djibouti,0.017741935483870968
23,Brazil,0.017733990147783252
133,Peru,0.017732558139534883
82,Israel,0.01773049645390071
125,Niue,0.017721518987341773
184,USA,0.017718940936863544
65,Germany,0.017711598746081504
59,Fiji,0.017699115044247787
110,Micronesia,0.01769230769230769
130,Panama,0.01769041769041769
108,Mauritius,0.017687074829931974
146,Samoa,0.017687074829931974
109,Mexico,0.017684887459807074
17,Belize,0.01766233766233766
188,Venezuela,0.017660550458715597
62,Gabon,0.01765873015873016
37,Colombia,0.01764705882352941
168,Tajikistan,0.01764705882352941
102,Malaysia,0.01764705882352941
157,Solomon Islands,0.01764705882352941
150,Senegal,0.01764705882352941
24,Brunei,0.01764705882352941
129,Palau,0.01760204081632653
152,Seychelles,0.01759656652360515
20,Bolivia,0.01759259259259259
52,Ecuador,0.017573221757322177
175,Tunisia,0.01756756756756757
118,Nauru,0.017543859649122806
189,Vietnam,0.017543859649122806
176,Turkey,0.017499999999999998
19,Bhutan,0.017391304347826087
78,Indonesia,0.016666666666666666
171,Timor-Leste,0.016666666666666666
116,Myanmar,0.016666666666666666
123,Niger,0.016666666666666666
190,Yemen,0.016666666666666666
80,Iraq,0.016666666666666666
13,Bangladesh,0.0
46,North Korea,0.0
158,Somalia,0.0
147,San Marino,0.0
128,Pakistan,0.0
111,Monaco,0.0
107,Mauritania,0.0
106,Marshall Islands,0.0
103,Maldives,0.0
97,Libya,0.0
79,Iran,0.0
90,Kuwait,0.0
0,Afghanistan,0.0
